school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Iowa,1769.7961835325855,3,0.000481099643452414,1.368931309913031,1.093680674001709,1677.401954606128,1.2400423395841476,0.3815549775278458,1,0.16666666666666666,0.0,1.2999541483463504,1707.992663735416,1,0,17,Big Ten,IOWA,2026,1,2026-09-23T04:13:56Z
Tennessee,1728.208936516802,3,0.000481099643452414,1.1431348827584404,,1672.5140584487456,1.2060989443597245,-0.22928709786476112,0,0.0,0.0,1.1714687104790182,1687.434993676643,1,0,18,SEC,TENN,2026,1,2026-09-23T04:13:56Z
South Carolina,1743.931976715347,3,0.000481099643452414,1.2285025508681393,1.759292307737553,1612.8296728088872,0.7916280502837852,1.1451075717686043,1,0.16666666666666666,0.0,1.1044838449142125,1676.717415186274,1,0,19,SEC,SC,2026,1,2026-09-23T04:13:56Z
Washington,1697.3346121735963,3,0.000481099643452414,0.9755038749915155,0.8682062042225908,1683.2370478925998,1.280563429070665,-0.6568765506395859,1,0.16666666666666666,0.0,1.0818538824635273,1673.0966211941643,1,0,20,Big Ten,WASH,2026,1,2026-09-23T04:13:56Z
BYU,1724.7792590035738,3,0.000481099643452414,1.124513574921318,,1628.0499946825687,0.8973237083269754,0.28992866621895474,0,0.0,0.0,1.0222781349538639,1663.5645015926182,1,0,21,Big 12,BYU,2026,1,2026-09-23T04:13:56Z
SMU,1666.2758758772877,3,0.000481099643452414,0.8068716093120524,1.059088173338091,1667.7480092097476,1.1730017001120054,-0.10711868278623976,1,0.16666666666666666,0.0,0.9630866356639877,1654.093861706238,1,0,22,ACC,SMU,2026,1,2026-09-23T04:13:56Z
Florida,1713.5855520851062,3,0.000481099643452414,1.0637377551646905,0.6838395021371861,1582.2846598753445,0.5795119551878518,1.022939156690083,1,0.16666666666666666,0.0,0.8536607111963131,1636.5857137914102,1,0,23,SEC,FLA,2026,1,2026-09-23T04:13:56Z
Michigan,1622.875754157452,3,0.000481099643452414,0.5712322456702609,0.604981208073335,1687.076735805796,1.3072276707361137,-1.7258501825766481,1,0.16666666666666666,0.0,0.8497617022501862,1635.9618723600297,1,0,24,Big Ten,MICH,2026,1,2026-09-23T04:13:56Z
Missouri,1663.0319453628324,3,0.000481099643452414,0.7892588079687999,,1621.2906304365565,0.8503841325502471,-1.0539238996447804,0,0.0,0.0,0.8167652040304512,1630.6824326448723,1,0,25,SEC,MIZ,2026,1,2026-09-23T04:13:56Z
Kansas State,1708.378804394972,3,0.000481099643452414,1.0354679102028073,,1566.4739652315802,0.46971652586895885,1.542154920773799,0,0.0,0.0,0.7808797872525755,1624.9407659604121,1,0,26,Big 12,KSU,2026,1,2026-09-23T04:13:56Z
Pittsburgh,1701.9064133249592,3,0.000481099643452414,1.0003263010888046,1.022246294250219,1533.078845036179,0.2378082105403699,1.6643233358523202,1,0.16666666666666666,0.0,0.7160260166202477,1614.5641626592396,1,0,27,ACC,PITT,2026,1,2026-09-23T04:13:56Z
Louisville,1643.9437403692637,3,0.000481099643452414,0.6856201014512358,0.46133410881132,1606.3835323237065,0.7468636184882823,0.10667604360117265,1,0.16666666666666666,0.0,0.6917649708921345,1610.6823953427415,0,1,28,ACC,LOU,2026,1,2026-09-23T04:13:56Z
Virginia,1675.8321830916336,3,0.000481099643452414,0.8587572276356698,1.0914173569886607,1548.0987430522562,0.3421120496921553,1.2367338830774954,1,0.16666666666666666,0.0,0.6824647956083261,1609.194367297332,1,0,29,ACC,UVA,2026,1,2026-09-23T04:13:56Z
Arizona State,1682.9245807908235,3,0.000481099643452414,0.897265139924952,,1543.6203499767637,0.31101239838262956,0.9923970529204527,0,0.0,0.0,0.6334514062309069,1601.352224996945,1,0,30,Big 12,ASU,2026,1,2026-09-23T04:13:56Z
Nebraska,1660.2343628044873,3,0.000481099643452414,0.7740694364264957,0.8652588356390529,1542.2301766583546,0.30135851031752825,0.137218147370803,1,0.16666666666666666,0.0,0.6036420440765746,1596.582727052252,1,0,31,Big Ten,NEB,2026,1,2026-09-23T04:13:56Z
Vanderbilt,1557.5250323508046,3,0.000481099643452414,0.2164129066956401,,1643.9758668093807,1.007918973547075,-0.7179607581788466,0,0.0,0.0,0.5725906367787859,1591.6145018846057,1,0,32,SEC,VAN,2026,1,2026-09-23T04:13:56Z
