school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Texas A&M,-0.04999999999999998,1596.2837307275026,1.1404363557010293,2.775755834641891,0.0,-0.5875703778389275,1.0387485401985745,1.0448612681936282,0.6446554242585785,0.0,4,7,-0.433225155631763,1430.683975098918,60,1585.2518717254025,SEC,TA&M,2022,17,2026-06-21T03:41:21Z
Kansas,0.03750000000000001,1586.6193323088517,1.1084918072418435,1.2461680584646753,0.0,-0.33840986376352167,0.9038641898191465,0.9994778439283374,-0.03655331669888437,0.0,5,7,-0.5043792246133463,1419.2993240618646,61,1456.4264457311378,Big 12,KU,2022,17,2026-06-21T03:41:21Z
Buffalo,0.3125,1418.6120519893568,-0.37929409194284286,0.0,0.0,0.4446660376163254,-1.4409845926126479,-1.1142104670798505,-0.5915398217883282,0.0,7,5,-0.5516295277440679,1411.7392755609492,62,1449.6589678936396,Mid-American,BUF,2022,17,2026-06-21T03:41:21Z
Syracuse,0.17499999999999996,1571.3073860893608,0.6424774536580307,2.0700557778035953,0.0,0.053128086926401724,0.6901579838669026,0.3374141071555051,0.3303687551967509,0.0,6,6,-0.5571209295035506,1410.860651279432,63,1509.4649256241978,ACC,SYR,2022,17,2026-06-21T03:41:21Z
Eastern Michigan,0.45,1390.9802365446822,-0.5002335135698563,0.0,0.0,0.836203988306249,-1.8266370993290915,-1.2860283623651836,-0.5915398217883282,0.0,8,4,-0.5759095069107855,1407.8544788942743,64,1516.443736603585,Mid-American,EMU,2022,17,2026-06-21T03:41:21Z
Middle Tennessee,0.3125,1426.4947850697843,-0.6222017622582867,0.0,0.0,0.4446660376163254,-1.330966639636295,-1.459307905952841,-0.5915398217883282,0.0,7,5,-0.6102489634187881,1402.360165852994,65,1453.2699616776943,Conference USA,MTSU,2022,17,2026-06-21T03:41:21Z
Michigan State,0.03750000000000001,1603.2959383282405,0.6104644095909417,1.2610512631354363,0.0,-0.33840986376352167,1.1366167184315696,0.2919333715997528,-0.029925015091689332,0.0,5,7,-0.6220563794524662,1400.4709792876054,66,1480.6469460604587,Big Ten,MSU,2022,17,2026-06-21T03:41:21Z
Georgia Tech,-0.04999999999999998,1612.8718887824928,0.7297662748761372,1.1033109156075322,0.0,-0.5875703778389275,1.2702666157489966,0.461424800623902,-0.100175382681726,0.0,4,7,-0.626592244199047,1399.7452409281525,67,1413.9168833630767,ACC,GT,2022,17,2026-06-21T03:41:21Z
SMU,0.17499999999999996,1559.8608874042886,0.6452599078388939,1.0442958628234331,0.0,0.053128086926401724,0.5304011658661765,0.34136712276160097,-0.12645799975720182,0.0,6,6,-0.6552744514118007,1395.156087774112,68,1549.0874672674345,American Athletic,SMU,2022,17,2026-06-21T03:41:21Z
Washington State,0.17499999999999996,1568.8136907713822,0.7298861392183862,0.0,0.0,0.053128086926401724,0.6553539062162307,0.4615950911605022,-0.5915398217883282,0.0,6,6,-0.6640415912034102,1393.7533454074544,69,1547.3950058914365,Pac-12,WSU,2022,17,2026-06-21T03:41:21Z
