school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Auburn,0.15450314170685475,-13.026638692679924,1,0,Baylor,0.15450314170685475,,,0.0,0.8095891907195801,1573.9403980011189,1802.298564595764,0.36570867862909295,0.6666666666666666,0.0,1,0,0.513668849325922,1582.1870158921474,32,SEC,AUB,2026,1,2026-09-23T04:14:10Z,
South Florida,0.07129613002583546,-10.79210611719083,1,0,Florida International,0.07129613002583546,,,0.0,0.6629192807737317,1590.2586901631146,1802.298564595764,0.3909452969882346,0.6666666666666666,0.0,1,0,0.4816032915834003,1577.056526653344,33,American Athletic,USF,2026,1,2026-09-23T04:14:10Z,
Pittsburgh,0.03014553548754695,9.354093538135004,1,0,Miami (OH),0.03014553548754695,,,0.0,0.8462964331780899,1701.9064133249592,1802.298564595764,0.26443567405835433,0.6666666666666666,0.0,1,0,0.45838926043159955,1573.3422816690559,34,ACC,PITT,2026,1,2026-09-23T04:14:10Z,
Arizona State,0.007817702484207323,8.594065218458447,0,1,Morgan State,0.007817702484207323,,,0.0,0.7886651941525482,1682.9245807908235,1802.298564595764,0.37298089620507013,0.8,0.0,1,0,0.4561177557945657,1572.9788409271305,35,Big 12,ASU,2026,1,2026-09-23T04:14:10Z,
Minnesota,0.007817702484207323,5.01539662263108,0,1,Eastern Illinois,0.007817702484207323,,,0.0,0.7405676211962426,1632.5380009222233,1802.298564595764,0.334197940665744,0.8,0.0,1,0,0.4154718767718437,1566.475500283495,36,Big Ten,MINN,2026,1,2026-09-23T04:14:10Z,
Wake Forest,0.02788146329482688,-6.377481669703595,1,0,Akron,0.02788146329482688,,,0.0,0.6300548018619476,1557.3733192235927,1802.298564595764,0.2908953459016384,0.6666666666666666,0.0,1,0,0.40394849788840814,1564.6317596621452,37,ACC,WAKE,2026,1,2026-09-23T04:14:10Z,
Arizona,0.007817702484207323,-8.500419086992896,0,1,Northern Arizona,0.007817702484207323,,,0.0,0.5589140495535395,1561.9040182952758,1802.298564595764,0.3401787190015854,0.8,0.0,1,0,0.3839257851119762,1561.4281256179163,38,Big 12,ARIZ,2026,1,2026-09-23T04:14:10Z,
James Madison,0.09840383706900979,-11.151460307942664,1,0,Liberty,0.09840383706900979,,,0.0,0.7156566932475608,1600.2662022018249,1802.298564595764,0.2169740716514876,0.6666666666666666,0.0,1,0,0.383201612183512,1561.312257949362,39,Sun Belt,JMU,2026,1,2026-09-23T04:14:10Z,
Mississippi State,0.012891074062152286,6.258634762650189,1,0,UL Monroe,0.012891074062152286,,,0.0,0.7680508771984855,1652.270480555281,1802.298564595764,0.18443844057620618,0.6666666666666666,0.0,1,0,0.37897591945029935,1560.6361471120479,40,SEC,MSST,2026,1,2026-09-23T04:14:10Z,
Kentucky,0.007817702484207323,-5.626438652927106,0,1,Youngstown State,0.007817702484207323,,,0.0,0.5975405610342751,1545.131867404088,1802.298564595764,0.30313746880082254,0.8,0.0,1,0,0.36201808724751305,1557.922893959602,41,SEC,UK,2026,1,2026-09-23T04:14:10Z,
UCLA,0.06478069252904783,-1.3445938819157313,1,0,California,0.06478069252904783,,,0.0,0.7760580707493385,1573.9983572044223,1802.298564595764,0.09356853831539819,0.6666666666666666,0.0,1,0,0.3210650491267117,1551.3704078602739,42,Big Ten,UCLA,2026,1,2026-09-23T04:14:10Z,
Iowa State,0.007817702484207323,-8.500419086992896,0,1,Southeast Missouri State,0.007817702484207323,,,0.0,0.5589140495535395,1541.739987061937,1802.298564595764,0.2552794217969011,0.8,0.0,1,0,0.31600634734822874,1550.5610155757165,43,Big 12,ISU,2026,1,2026-09-23T04:14:10Z,
Duke,0.08810128301798181,-5.302864726739962,1,0,Tulane,0.08810128301798181,,,0.0,0.7723832818899494,1597.9789969978374,1802.298564595764,0.07511985558149112,0.6666666666666666,0.0,1,0,0.3075409976843106,1549.2065596294897,44,ACC,DUKE,2026,1,2026-09-23T04:14:10Z,
Kansas State,0.007817702484207323,9.816564264633378,0,1,Nicholls,0.007817702484207323,,,0.0,0.805095672551965,1708.378804394972,1802.298564595764,0.14393165222136386,0.8,0.0,1,0,0.27616445628748404,1544.1863130059974,45,Big 12,KSU,2026,1,2026-09-23T04:14:10Z,
Northwestern,0.007817702484207323,-18.548846115395143,0,1,South Dakota State,0.007817702484207323,,,0.0,0.4238624405115036,1451.1023480971555,1802.298564595764,0.14841226033093097,0.8,0.0,1,0,0.20350229636704548,1532.5603674187273,46,Big Ten,NU,2026,1,2026-09-23T04:14:10Z,
