school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
California,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.20319145884391498,1467.4893665849736,74,1500.5916926927205,ACC,CAL,2026,0,2026-06-21T03:29:00Z
Clemson,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.21251952775306682,1465.9968755595094,75,1536.6555531725844,ACC,CLEM,2026,0,2026-06-21T03:29:00Z
Jacksonville State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.21263855480807975,1465.9778312307071,76,1486.835101515923,Conference USA,JXST,2026,0,2026-06-21T03:29:00Z
Virginia Tech,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.224793579310687,1464.03302731029,77,1500.245465465769,ACC,VT,2026,0,2026-06-21T03:29:00Z
Mississippi State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2273524114036595,1463.6236141754146,78,1509.663015514987,SEC,MSST,2026,0,2026-06-21T03:29:00Z
Stanford,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2611191430884534,1458.2209371058475,79,1497.6640108565275,ACC,STAN,2026,0,2026-06-21T03:29:00Z
Auburn,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.27949815913586523,1455.2802945382616,80,1530.3020023746308,SEC,AUB,2026,0,2026-06-21T03:29:00Z
Michigan State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.28136532382289753,1454.9815481883363,81,1501.9573444054577,Big Ten,MSU,2026,0,2026-06-21T03:29:00Z
South Carolina,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.29220905697474076,1453.2465508840414,82,1525.9367451805847,SEC,SC,2026,0,2026-06-21T03:29:00Z
Syracuse,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.34675725606317226,1444.5188390298924,83,1492.7439931632357,ACC,SYR,2026,0,2026-06-21T03:29:00Z
Kansas State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.35314262646434064,1443.4971797657056,84,1512.7685085276132,Big 12,KSU,2026,0,2026-06-21T03:29:00Z
Arkansas,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.410010129534265,1434.3983792745175,85,1514.4990917221387,SEC,ARK,2026,0,2026-06-21T03:29:00Z
Kansas,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.4200871207023612,1432.7860606876222,86,1505.6151467663167,Big 12,KU,2026,0,2026-06-21T03:29:00Z
Baylor,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.4258335370410354,1431.8666340734344,87,1507.2985549875875,Big 12,BAY,2026,0,2026-06-21T03:29:00Z
Cincinnati,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.42887233288717214,1431.3804267380524,88,1497.7617032719209,Big 12,CIN,2026,0,2026-06-21T03:29:00Z
Maryland,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.46374982303592716,1425.8000283142517,89,1499.2435750178206,Big Ten,MD,2026,0,2026-06-21T03:29:00Z
West Virginia,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.49244752542386333,1421.208395932182,90,1491.4059968095692,Big 12,WVU,2026,0,2026-06-21T03:29:00Z
UTSA,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.5312532640576336,1414.9994777507786,91,1508.331164256889,American Athletic,UTSA,2026,0,2026-06-21T03:29:00Z
Utah State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.5504328274734027,1411.9307476042557,92,1483.2559390069844,Pac-12,USU,2026,0,2026-06-21T03:29:00Z
Temple,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6231768574965072,1400.2917028005588,93,1473.4625884064417,American Athletic,TEM,2026,0,2026-06-21T03:29:00Z
UCF,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6514965729389426,1395.760548329769,94,1503.0029700612142,Big 12,UCF,2026,0,2026-06-21T03:29:00Z
Colorado,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6563307167201566,1394.9870853247749,95,1502.6333624619804,Big 12,COLO,2026,0,2026-06-21T03:29:00Z
Boston College,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6960316152124209,1388.6349415660127,96,1493.3000790710364,ACC,BC,2026,0,2026-06-21T03:29:00Z
North Carolina,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6968718266357649,1388.5005077382775,97,1501.3639671465405,ACC,UNC,2026,0,2026-06-21T03:29:00Z
Miami (OH),0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.7590322095756771,1378.5548464678916,98,1489.617524763808,Mid-American,M-OH,2026,0,2026-06-21T03:29:00Z
Coastal Carolina,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.7733040801266821,1376.2713471797308,99,1480.7517657736082,Sun Belt,CCU,2026,0,2026-06-21T03:29:00Z
Georgia Southern,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.7734660398334442,1376.245433626649,100,1484.0733037626858,Sun Belt,GASO,2026,0,2026-06-21T03:29:00Z
Marshall,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.7904760016917197,1373.523839729325,101,1492.5354154163997,Sun Belt,MRSH,2026,0,2026-06-21T03:29:00Z
