school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,result_note,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
UNLV,-1.5791548840627145,-23.268815259845507,3,0,Hawai'i,0.08428589219316862,Memphis,-0.8774272513732029,0.0,-1.1455233728114746,1442.9088932626362,1790.187753145823,0.04254551372241029,0.4,0.0,,1,2,-0.6702958181979206,1392.7526690883328,101,Mountain West,UNLV,2026,3,2026-09-23T04:47:05Z,
Rice,-1.0681532859944727,-19.4331256162544,2,1,Houston Christian,0.008420353661292568,Western Michigan,-0.8499449039073622,0.0,-0.5500713765531846,1321.5604764486582,1790.187753145823,-0.8479870801862173,0.4444444444444444,0.0,,1,2,-0.6824783559456435,1390.803463048697,102,American Athletic,RICE,2026,3,2026-09-23T04:47:05Z,
Purdue,-1.5818918430123876,-16.481140890130856,2,1,Indiana State,0.008420353661292568,Wake Forest,-0.8538079137107444,0.0,-1.0268711925287977,1414.0103246564581,1790.187753145823,-0.2595866476776507,0.4444444444444444,0.0,,1,2,-0.6858558392616213,1390.2630657181405,103,Big Ten,PUR,2026,3,2026-09-23T04:47:05Z,
Army,-0.7647894933276986,-3.740449418017656,1,1,Bryant,0.008420353661292568,South Florida,-0.7732098469889912,0.0,0.04351566772407029,1534.2501688328502,1790.187753145823,-1.2331854236538613,0.5714285714285714,0.0,,1,1,-0.6860278130633192,1390.235549909869,104,American Athletic,ARMY,2026,3,2026-09-23T04:47:05Z,
Kennesaw State,-1.3932437700287594,-19.389454022753444,2,1,West Georgia,0.008420353661292568,Georgia State,-0.9132025623592401,0.0,-0.8844358140755365,1369.6992752086512,1790.187753145823,-0.46162965105365844,0.4444444444444444,0.0,,1,2,-0.6965219638435907,1388.5564857850254,105,Conference USA,KENN,2026,3,2026-09-23T04:47:05Z,
Kent State,-0.8787060008524965,-30.24923095684713,2,1,Wofford,0.008420353661292568,South Carolina,-0.6435179972921927,0.0,-0.5483317514655529,1206.6552937711356,1790.187753145823,-0.8867282284968357,0.4444444444444444,0.0,,1,2,-0.6987301857016786,1388.2031702877314,106,Mid-American,KENT,2026,3,2026-09-23T04:47:05Z,
Navy,-0.9172841097548061,-18.343221851671842,1,1,Towson,0.008420353661292568,Florida Atlantic,-0.9257044634160987,0.0,-0.375030431429392,1380.1059958105575,1790.187753145823,-1.0104320459835001,0.5714285714285714,0.0,,1,1,-0.7381170683174537,1381.9012690692075,107,American Athletic,NAVY,2026,3,2026-09-23T04:47:05Z,
Miami (OH),-1.4295894209168685,-19.193093906344007,2,1,Holy Cross,0.008420353661292568,Cincinnati,-0.7836900217824849,0.0,-0.9183915813188265,1419.2587694906777,1790.187753145823,-0.5951512002261904,0.4444444444444444,0.0,,1,2,-0.7747291897220994,1376.0433296444642,108,Mid-American,M-OH,2026,3,2026-09-23T04:47:05Z,
Arkansas State,-1.5172922606652268,-19.173493409772785,2,1,West Georgia,0.008420353661292568,Memphis,-0.8295773785486789,0.0,-1.008456419444867,1395.7613118394172,1790.187753145823,-0.4863225769941711,0.4444444444444444,0.0,,1,2,-0.7763969339112244,1375.776490574204,109,Sun Belt,ARST,2026,3,2026-09-23T04:47:05Z,
Ohio,-1.4657395849893424,-23.274107145725214,3,0,Jacksonville State,0.08893444161999031,South Alabama,-0.8812718403906097,0.0,-1.0286946822475822,1415.7864837053487,1790.187753145823,-0.4326241922808871,0.4,0.0,,1,2,-0.7902664862609041,1373.5573621982553,110,Mid-American,OHIO,2026,3,2026-09-23T04:47:05Z,
